행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 길가장자리구역통행중,사고유형 - 소분류_ 보도통행중,사고유형 - 소분류_ 차도통행중,사고유형 - 소분류_ 횡단중,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
가락동,23,1,8,7,19,0,6,10,0,5,0,35,2,0,0,19,6,32,0,1,0,0,3,8,8,38,0,1,0,0,3,0,8,28,5,2,3,5,0,4,3,10,7,9,14,10,0,5,84273,1848,0.157084713,0.017241379
가리봉동,11,0,1,1,2,0,0,2,0,0,0,12,1,0,0,4,1,10,0,0,0,0,2,1,1,11,0,0,0,0,0,0,2,9,3,0,1,0,0,0,0,1,3,1,4,4,0,2,12347,53,0.186685025,5.666666667
가산동,27,0,2,0,14,0,5,12,0,6,0,20,0,0,0,18,4,21,0,0,0,0,4,3,11,25,0,0,0,0,0,0,6,18,7,0,1,4,0,7,0,4,6,4,11,9,2,7,27468,289,0.113004223,0.76744186
가양동,6,0,0,2,9,0,0,5,0,5,1,6,0,0,0,10,2,5,0,0,0,0,1,3,6,7,0,0,0,0,0,0,0,13,0,0,1,2,0,1,0,2,5,2,3,3,2,0,27579,201,0.313716959,25.88235294
가회동,3,2,1,3,2,0,0,2,0,0,0,9,0,0,0,3,0,8,0,0,0,0,2,1,0,7,0,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,1,3,4,2,1,0,3939,199,0.218837268,10.81818182
갈현동,30,7,4,5,12,0,4,4,0,4,0,46,0,0,0,19,8,31,0,0,0,0,6,8,5,39,0,0,0,0,0,1,1,38,1,0,8,4,0,5,2,7,6,6,15,17,4,1,42181,396,0.208458785,1.017241379
강일동,1,1,1,0,3,0,0,1,0,1,0,4,0,0,0,3,0,3,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,2,1,0,1,1,0,34745,130,0.182731328,95.16666667
개봉동,26,8,4,4,10,0,4,7,0,0,0,41,0,0,0,25,4,23,0,0,0,0,7,11,7,27,0,0,0,0,1,1,0,36,5,0,0,2,0,7,2,4,5,4,14,15,7,1,83585,762,0.22983789,1.653846154
개포동,13,2,2,2,10,0,1,8,0,3,0,17,0,0,0,9,5,15,0,0,0,0,3,3,3,20,0,0,0,0,1,0,3,13,2,0,4,3,0,3,1,0,5,3,7,7,3,3,46531,638,0.16000086,0.931034483
거여동,9,0,2,3,8,0,3,1,0,3,0,15,0,0,0,10,2,10,0,0,0,0,5,3,2,12,0,0,0,0,0,0,1,13,0,0,4,3,0,1,0,4,1,7,5,3,1,1,35571,931,0.204886003,2.909090909
고덕동,8,0,1,1,7,0,1,4,0,2,0,10,0,0,0,13,1,3,0,0,0,0,2,7,4,4,0,0,0,0,0,1,0,8,3,0,0,1,1,3,0,2,1,1,3,8,1,1,48460,699,0.138980603,4.823529412
고척동,12,2,6,2,8,0,3,5,0,3,0,19,0,0,0,10,4,15,0,1,0,0,3,5,2,19,0,1,0,0,0,0,0,22,2,0,3,1,0,2,0,0,6,3,6,10,4,1,52974,232,0.20440216,1.7
공덕동,2,1,1,1,1,0,1,1,0,2,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,1,1,2,1,0,37038,304,0.173173497,1.5
공릉동,28,3,5,3,24,0,5,18,0,7,0,32,1,0,0,31,10,22,0,0,0,0,10,9,12,32,0,0,0,0,4,0,3,32,7,1,5,3,0,8,3,9,6,9,13,14,5,4,79013,490,0.172364041,1.142857143
공항동,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46399,339,0.142610832,48
광장동,5,0,3,0,6,0,1,6,0,0,0,7,0,0,0,3,2,9,0,0,0,1,1,1,1,10,0,0,0,0,1,0,1,11,1,0,0,0,0,0,1,0,2,3,1,4,2,1,34133,203,0.124132072,12.92857143
광희동,7,0,1,2,4,0,0,2,0,5,0,7,0,0,0,4,3,7,0,0,0,0,1,1,2,10,0,0,0,0,0,1,0,5,1,1,4,1,0,1,1,3,2,2,2,4,0,0,7116,134,0.167509837,17.85714286
교남동,0,0,0,1,3,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,9860,58,0.174543611,41
구로동,55,7,15,5,33,1,13,14,1,12,0,74,0,0,0,37,15,62,0,1,0,0,4,11,22,77,0,1,0,0,3,0,4,63,8,2,13,8,0,14,2,15,12,16,35,21,8,6,128594,1125,0.18813475,0.713043478
구산동,5,5,0,2,0,0,0,2,0,0,0,10,0,0,0,5,2,5,0,0,0,0,2,2,1,7,0,0,0,0,1,1,0,9,0,0,0,0,0,1,0,1,1,5,1,1,3,0,31548,234,0.214276658,23.33333333
구의동,16,0,0,3,5,0,1,2,0,1,0,20,0,0,0,6,5,13,0,0,0,0,3,2,1,18,0,0,0,0,0,0,0,14,2,1,2,4,0,1,1,2,3,1,4,10,3,0,78117,529,0.168119615,1.25
군자동,5,1,2,1,3,1,1,0,0,2,0,7,1,0,0,2,1,9,0,0,0,0,1,0,1,9,0,0,1,0,2,1,0,5,1,2,1,0,0,0,0,2,1,2,2,2,3,0,21461,50,0.15544476,9.666666667
금호2.3가동,6,2,1,3,8,0,0,6,0,0,0,14,0,0,0,9,1,10,0,0,0,0,3,2,4,11,0,0,0,0,0,1,1,12,2,2,0,0,0,2,0,1,3,3,3,6,3,1,22029,153,0.18893277,2.75
금호4가동,4,0,1,0,3,0,1,2,0,1,0,4,0,0,0,1,1,6,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,4,1,0,1,1,0,0,1,0,2,2,1,2,0,0,14231,42,0.188953693,0.375
길동,17,2,2,0,5,0,1,3,0,0,0,22,0,0,0,11,2,13,0,0,0,0,4,6,1,15,0,0,0,0,0,0,0,20,2,0,0,0,0,4,1,2,3,4,5,9,2,0,45072,825,0.203541001,4.346153846
봉천동,52,7,9,18,23,1,8,17,0,7,1,71,3,1,0,43,22,44,0,0,0,0,18,11,14,66,0,0,0,0,4,0,1,66,8,1,13,3,1,12,2,21,17,8,19,29,11,2,225866,2036,0.171313965,0.064220183
신림동,75,7,13,21,48,1,9,21,0,11,0,120,1,0,1,55,43,63,2,1,0,0,16,15,24,106,2,1,0,0,4,1,4,95,16,0,19,10,0,15,1,21,27,24,29,40,15,7,234013,3320,0.166093337,1.591463415
남가좌동,10,1,3,1,8,0,3,3,0,4,0,13,0,0,0,9,2,12,0,0,0,0,0,3,6,14,0,0,0,0,0,0,1,12,2,1,4,1,0,2,1,1,5,2,7,3,3,1,47253,288,0.161894483,0.47826087
남영동,7,1,4,1,8,0,7,2,0,2,0,10,0,0,0,5,4,12,0,0,0,0,1,1,3,15,0,0,0,1,1,0,2,13,2,0,0,2,0,1,1,3,1,2,5,5,2,2,7301,198,0.221613478,11.85714286
남현동,6,0,0,2,2,0,1,1,0,0,0,8,0,0,0,5,0,5,0,0,0,0,1,3,1,5,0,0,0,0,0,0,0,6,1,0,2,0,0,1,0,1,2,2,1,1,3,0,17962,266,0.173477341,24.3
내곡동,9,0,0,2,2,0,2,0,0,3,0,8,0,0,0,4,3,6,0,0,0,0,2,1,1,9,0,0,0,0,0,0,1,8,2,0,0,1,0,1,0,1,3,3,2,2,1,1,17171,0,0.208083396,3.615384615
노량진제1동,6,0,1,0,2,0,1,0,0,2,0,6,0,0,0,1,3,5,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,3,3,0,0,1,0,1,0,1,1,4,1,1,0,1,32846,57,0.189825245,3.777777778
녹번동,6,0,4,2,11,0,3,3,0,4,0,13,0,0,0,7,2,14,0,0,0,0,2,3,2,16,0,0,0,0,0,0,0,18,0,1,3,1,0,0,1,5,2,3,7,3,2,0,36407,159,0.211909798,2.130434783
논현동,75,7,8,3,12,0,7,8,0,2,0,88,0,0,0,23,38,44,0,0,0,0,7,9,7,82,0,0,0,0,4,0,9,69,4,0,7,0,1,11,3,13,19,18,18,14,9,11,42363,1336,0.150036589,2.104761905
능동,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,11502,249,0.151278039,6
신당동,35,3,4,5,14,0,3,11,0,4,0,42,1,0,0,13,8,40,0,0,0,0,9,3,1,48,0,0,0,0,1,0,3,33,2,4,4,4,0,10,3,8,12,9,10,8,8,3,72831,313,0.2179841,1.098360656
답십리동,31,2,6,4,9,0,2,4,0,2,0,44,0,0,0,21,2,29,0,0,0,0,9,5,7,31,0,0,0,0,0,0,3,26,3,1,6,3,0,10,2,1,9,5,14,15,3,3,55942,342,0.187265382,0.865384615
당산제1동,9,2,6,3,5,0,4,9,0,0,0,12,0,0,0,9,2,14,0,0,0,0,1,3,5,16,0,0,0,0,0,0,0,12,3,0,3,4,0,3,0,5,4,3,4,7,2,0,21564,304,0.169217214,3.92
당산제2동,10,1,3,3,7,0,2,5,0,2,0,15,0,0,0,11,0,13,0,0,0,0,5,3,3,13,0,0,0,0,1,0,0,15,2,0,1,4,0,1,0,2,7,5,3,3,3,1,37094,170,0.137138082,10.70833333
대림동,25,9,7,10,19,0,4,12,0,5,0,48,1,0,0,24,1,45,0,0,0,0,8,10,6,46,0,0,0,0,1,0,1,41,6,2,2,6,0,11,0,2,10,17,13,17,9,2,58550,1130,0.206233988,0.2
대방동,10,0,5,2,7,0,3,3,0,1,0,17,0,0,0,8,1,15,0,0,0,0,2,4,2,16,0,0,0,0,1,0,0,10,4,1,2,4,0,2,2,3,3,5,5,4,2,0,36044,222,0.164576629,8.666666667
대조동,9,0,1,3,10,0,1,6,0,2,0,14,0,0,0,11,4,8,0,0,0,0,2,2,7,12,0,0,0,0,1,0,0,13,1,0,4,0,0,4,1,4,5,2,5,5,1,0,27841,193,0.195215689,1.869565217
대치동,59,12,9,5,29,0,9,17,0,7,0,78,3,0,0,29,8,76,0,1,0,0,8,12,9,84,0,1,0,0,5,0,5,87,7,0,1,4,0,5,4,9,16,24,20,22,14,5,80921,842,0.13139976,1.701754386
도곡동,13,4,3,3,8,0,4,8,0,0,0,18,1,0,0,7,4,20,0,0,0,0,2,3,2,24,0,0,0,0,3,0,0,23,2,0,1,2,0,0,0,2,4,6,6,8,4,1,53115,467,0.1614045,0.322580645
신도림동,3,0,2,1,6,0,1,3,0,3,0,5,0,0,0,5,2,4,0,1,0,0,0,1,4,6,0,1,0,0,0,0,0,5,3,1,0,1,0,2,0,1,0,3,4,3,1,0,55908,385,0.161390141,9.916666667
도봉동,9,4,3,3,15,0,3,2,0,1,0,28,0,0,0,15,1,18,0,0,0,0,2,9,4,19,0,0,0,0,0,0,2,25,0,1,3,1,0,2,0,4,4,6,7,6,5,2,46304,526,0.29092519,3.441176471
독산동,71,0,2,0,14,0,9,5,0,9,0,64,0,0,0,30,8,49,0,0,0,0,8,12,10,57,0,0,0,0,2,1,2,56,8,1,6,3,1,7,3,6,8,18,20,21,8,3,110143,986,0.175871367,0.229885057
돈암동,3,0,1,1,4,0,2,3,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,2,1,4,1,0,37868,17,0.186357875,13.11111111
동선동,19,1,4,1,5,0,4,0,0,3,1,22,0,0,0,2,4,24,0,0,0,0,1,1,0,28,0,0,0,0,0,0,1,17,4,0,1,3,0,4,1,5,3,3,7,3,7,1,16011,373,0.142464556,0.566666667
둔촌동,8,1,0,3,7,0,2,4,0,0,0,13,0,0,0,7,1,11,0,0,0,0,1,3,3,12,0,0,0,0,0,0,0,12,0,0,1,1,0,5,1,1,2,2,6,5,2,0,24415,418,0.190579562,32.94736842
등촌동,22,1,5,1,25,0,5,12,0,6,0,30,1,0,0,24,10,20,0,0,0,0,4,4,16,30,0,0,0,0,0,0,6,28,8,0,4,4,0,4,2,3,10,5,10,15,3,6,74095,358,0.19522235,3.166666667
마장동,8,4,1,4,4,0,1,2,0,1,0,17,0,0,0,5,4,12,0,0,0,0,1,3,1,16,0,0,0,0,0,0,2,9,0,0,2,4,0,4,0,6,4,2,1,4,2,2,22170,577,0.191520072,8
마천동,7,4,1,6,7,0,3,2,0,5,0,15,0,0,0,10,1,13,0,1,0,0,4,5,1,14,0,1,0,0,1,0,0,17,1,0,3,1,0,2,1,2,5,6,2,6,3,0,35615,1417,0.251270532,0.96
망우동,20,7,6,3,20,1,3,9,0,4,0,38,0,1,0,31,4,21,0,0,0,0,7,15,9,24,0,0,1,0,1,0,2,33,8,0,3,0,1,8,2,6,5,10,12,12,7,2,54071,846,0.207856337,8.428571429
망원동,8,1,1,0,2,0,3,1,0,0,0,8,0,0,0,4,2,6,0,0,0,0,1,2,1,8,0,0,0,0,1,0,1,6,0,0,0,4,0,0,3,2,0,1,2,1,2,1,37398,206,0.185357506,7.25
면목동,60,11,7,7,39,1,11,16,6,11,0,79,0,0,0,56,10,58,0,0,0,0,12,30,14,67,0,0,1,0,0,0,6,60,9,2,16,6,0,25,1,15,13,23,28,27,11,6,136677,1964,0.211469377,1.112903226
명동,15,1,2,2,13,0,1,9,0,4,0,19,0,0,0,5,5,23,0,0,0,0,0,2,3,27,0,0,1,0,1,0,2,19,3,1,3,0,0,4,0,3,7,1,8,9,3,2,3403,52,0.226564796,9.848484848
명일동,6,0,6,5,14,0,2,8,0,5,0,15,1,0,0,13,2,16,0,0,0,0,2,6,5,18,0,0,0,0,0,0,0,20,2,2,1,3,0,3,1,1,6,7,8,5,2,1,42243,496,0.179769429,5.35483871
목동,49,4,6,3,33,0,3,22,0,9,0,60,0,1,0,33,13,48,0,1,0,0,5,11,17,61,0,1,0,0,3,0,1,63,10,0,3,6,1,8,6,12,8,19,26,18,4,2,145928,938,0.145797928,0.831578947
무악동,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8007,2,0.190208568,67
묵동,16,0,1,1,15,0,2,10,0,3,0,18,0,0,0,16,2,15,0,0,0,0,2,6,8,17,0,0,0,0,0,0,2,18,4,1,1,4,0,3,2,1,6,7,4,6,4,3,52187,985,0.201544446,3.727272727
문래동,3,1,0,6,2,0,1,1,0,2,0,8,0,0,0,7,0,4,1,0,0,0,3,3,1,4,1,0,0,0,1,1,0,7,0,0,1,1,0,1,0,1,2,2,3,3,1,0,32335,459,0.156270295,2
미아동,58,12,4,11,44,0,4,20,0,6,0,99,0,0,0,55,2,72,0,0,0,0,13,29,13,74,0,0,0,0,0,1,4,75,10,1,21,4,0,13,0,20,15,23,31,21,15,4,128883,1110,0.219602275,1.201550388
반포동,18,6,2,5,21,0,2,9,0,2,0,39,0,0,0,22,8,22,0,0,0,0,7,8,7,30,0,0,0,0,0,0,0,38,4,2,2,2,0,4,3,4,6,10,16,7,6,0,78094,399,0.14223884,7.230769231
잠원동,22,3,3,3,13,0,0,5,0,6,0,32,1,0,0,10,12,21,0,1,0,0,2,4,4,33,0,1,0,0,2,1,2,29,1,0,3,5,0,1,1,2,11,12,9,6,1,2,50918,121,0.140853922,1.681818182
발산제1동,3,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,1,1,0,35797,183,0.155655502,15
방배동,30,7,11,8,15,1,13,8,0,7,0,42,0,0,0,19,12,38,0,2,0,0,11,5,3,50,0,2,0,0,0,0,0,45,13,0,7,1,0,5,1,7,9,16,19,14,5,0,94165,1634,0.182636861,4.605633803
방이동,55,9,8,14,20,0,4,11,2,3,0,86,0,0,0,39,9,57,0,1,0,0,13,19,7,66,0,1,0,0,2,0,6,75,4,1,4,6,0,8,2,12,15,22,22,22,5,6,59980,1030,0.162354118,0.028301887
방학동,18,2,0,2,21,0,1,10,1,2,0,28,1,0,0,27,3,13,0,0,0,0,3,17,7,16,0,0,0,0,1,0,0,25,4,0,3,3,0,7,1,5,4,7,9,14,3,0,72583,719,0.23794828,1.953488372
방화제2동,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22906,262,0.232821095,123
번동,39,3,7,4,13,0,10,10,0,3,0,41,1,1,0,28,5,33,0,0,0,0,13,8,7,37,0,0,0,1,0,0,2,30,16,0,5,3,0,10,1,7,5,11,18,15,7,2,48530,404,0.26733979,0.727272727
보광동,4,0,0,1,3,0,0,0,0,0,0,8,0,0,0,2,1,5,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,4,1,0,1,1,0,1,1,0,1,3,0,2,1,0,10679,204,0.212004869,2.875
보문동,7,0,0,0,4,0,0,4,0,0,0,7,0,0,0,6,1,4,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,7,1,0,0,1,0,2,1,1,0,3,2,3,1,0,16577,295,0.162454003,22.27272727
부암동,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9400,122,0.204680851,153
북가좌동,14,1,1,8,20,0,3,13,0,3,0,25,0,0,0,22,2,20,0,0,0,0,2,12,8,22,0,0,0,0,1,0,1,24,5,5,3,1,0,4,2,6,4,3,13,11,4,1,48560,680,0.209122735,14.56818182
불광동,14,2,2,3,13,0,3,4,0,2,1,24,0,0,0,14,5,15,0,0,0,0,6,2,6,20,0,0,0,0,0,0,2,25,0,0,4,1,0,2,1,2,7,6,7,5,4,2,64760,336,0.231886967,1.147058824
사근동,3,0,0,0,3,0,0,0,0,0,0,6,0,0,0,2,0,4,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,0,0,1,2,1,0,14235,46,0.10965929,23.33333333
사당동,52,7,6,12,11,1,6,5,0,5,0,70,1,0,0,29,1,58,0,0,0,0,11,14,4,59,0,0,0,0,3,2,1,54,4,0,12,5,0,7,4,4,15,13,26,21,4,1,75154,790,0.193229901,5.602272727
사당제2동,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,28427,91,0.214936504,226.5
사직동,9,1,5,3,7,0,2,7,0,1,0,15,0,0,0,8,1,15,0,1,0,0,4,1,3,14,0,1,2,0,0,0,0,16,2,0,3,1,0,3,0,5,4,4,5,6,1,0,9258,106,0.204471808,11.6
삼선동,8,1,2,3,8,0,0,6,0,4,0,12,0,0,0,5,2,15,0,0,0,0,0,1,4,17,0,0,0,0,0,0,0,11,3,1,2,2,0,3,2,3,4,3,4,3,3,0,22708,450,0.185265105,2.181818182
삼성동(강남구),23,7,8,4,14,1,9,14,0,3,0,29,0,0,0,12,17,27,0,0,0,0,4,2,6,44,0,0,0,0,3,0,4,37,5,0,5,1,0,1,0,7,8,11,12,12,3,3,43105,754,0.148196265,6.107142857
삼전동,5,1,1,4,4,0,0,1,0,0,0,14,0,0,0,4,2,9,0,0,0,0,1,3,0,11,0,0,0,0,1,0,1,12,0,0,0,0,0,1,0,3,2,3,3,3,0,1,29444,394,0.151032468,12.86666667
삼청동,4,1,1,3,1,0,1,1,0,0,0,8,0,0,0,2,2,6,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,1,5,3,1,0,2450,99,0.264489796,7
상계동,51,4,12,20,34,2,12,25,0,7,1,73,1,0,0,55,17,48,0,1,0,0,16,23,16,65,0,1,0,0,5,1,6,66,10,0,13,8,0,12,7,8,13,23,24,27,9,10,197660,955,0.202114742,0.752066116
상도동,31,8,3,7,21,0,4,14,0,5,0,47,0,0,0,23,1,44,0,2,0,0,6,5,12,45,0,2,0,0,1,0,1,44,6,2,9,0,0,7,1,7,7,14,20,12,8,1,80214,520,0.189493106,1
상봉동,37,5,6,4,18,1,8,10,0,4,0,47,0,0,0,23,11,35,0,1,0,0,3,11,9,43,0,1,3,0,2,0,6,43,4,1,4,3,0,7,0,9,13,5,13,20,4,6,44141,507,0.173285607,2.757142857
상암동,6,0,2,1,4,0,3,1,0,2,0,7,0,0,0,3,4,6,0,0,0,0,0,2,1,10,0,0,0,0,2,0,3,2,3,0,1,1,0,1,1,2,1,1,1,2,2,3,30403,512,0.148340624,7.538461538
상일동,6,0,1,0,6,1,0,7,0,1,0,4,0,0,0,6,1,6,0,0,0,0,3,1,2,7,0,0,0,0,0,1,0,8,1,0,1,0,0,2,0,0,2,3,3,5,0,0,52281,258,0.140529064,7.230769231
서강동,0,0,1,2,9,0,1,2,0,2,0,7,0,0,0,9,1,2,0,0,0,1,2,2,5,2,0,0,0,0,1,0,0,7,1,0,2,0,0,1,2,1,2,1,2,3,1,0,25454,707,0.137188654,11.83333333
서교동,43,5,7,5,12,0,7,3,0,11,0,49,2,0,0,17,9,46,0,0,0,0,5,8,4,55,0,0,0,0,8,0,4,47,2,2,6,2,0,1,3,17,19,11,10,7,1,4,26303,345,0.131848078,1.777777778
서빙고동,2,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,2,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1,13239,313,0.171689705,11.75
서초동,86,8,7,34,46,0,10,34,0,10,0,127,0,0,0,59,36,84,1,1,0,0,20,18,21,119,1,1,1,0,4,0,2,148,7,1,6,2,0,11,5,20,31,44,34,31,13,3,76044,698,0.145954973,0.712707182
석관동,8,1,3,6,5,0,2,2,0,2,0,17,0,0,0,9,1,13,0,0,1,0,3,2,4,13,0,0,0,0,1,0,1,13,1,0,2,2,0,3,0,4,3,1,7,4,2,2,34698,444,0.226007263,18.91304348
석촌동,14,1,3,4,17,1,3,13,0,1,0,20,1,0,0,16,4,19,0,0,0,0,3,9,4,23,0,0,0,0,4,0,1,19,3,1,4,2,1,4,0,5,7,7,11,7,1,1,31269,615,0.161213982,6.820512821
성내동,29,2,6,3,17,0,4,9,0,0,0,44,0,0,0,23,3,31,0,0,0,0,11,4,8,34,0,0,0,0,2,0,0,33,3,2,3,7,0,7,3,3,10,10,10,12,8,1,66208,1780,0.190883277,2.684210526
