행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 정면충돌,사고유형 - 소분류_ 추돌,사고유형 - 소분류_ 측면충돌,사고유형 - 소분류_ 후진중충돌,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_농기계,가해운전자 차종_사륜오토바이(ATV),가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
성북동,23,0,6,9,4,3,1,0,0,3,4,27,4,0,0,12,2,27,0,1,0,0,4,7,1,29,0,1,0,0,0,1,1,0,0,32,2,0,3,2,0,1,0,3,9,7,7,10,5,1,16475,428,0.192655539,9.047619048
성산제2동,2,0,2,4,0,0,0,0,0,3,0,4,1,0,0,5,0,3,0,0,0,0,1,4,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,1,0,2,1,1,1,2,0,39156,191,0.170446419,15.5
세곡동,38,3,20,25,2,3,0,0,0,20,8,55,1,0,1,47,4,37,0,0,0,0,17,27,3,41,0,0,0,0,0,0,4,1,0,59,6,0,4,11,0,3,5,6,7,18,16,22,10,4,45450,222,0.161694169,7.352272727
소공동,7,1,8,22,0,2,1,0,0,4,16,15,0,0,0,17,0,20,0,1,0,0,6,10,1,15,0,1,5,0,0,0,0,0,0,30,3,0,2,1,0,2,0,4,11,5,6,7,5,0,3373,59,0.102579306,7.052631579
송파동,44,3,20,50,2,4,4,0,0,14,17,70,7,3,0,62,2,55,0,0,0,1,18,42,2,55,0,0,0,1,1,0,4,0,0,77,1,1,18,9,0,8,2,17,24,16,17,28,11,4,42459,597,0.165312419,7.680672269
수궁동,15,1,9,7,2,2,2,0,0,1,7,18,0,2,2,12,2,19,0,1,0,0,2,9,1,21,0,1,0,0,0,2,0,0,0,22,2,0,2,3,0,3,1,1,7,5,10,8,2,0,23010,257,0.221729683,11.97058824
수색동,6,0,7,15,2,0,0,0,0,9,5,15,0,0,1,20,0,10,0,0,0,0,7,13,0,9,0,0,1,0,0,0,0,0,0,15,8,1,1,0,0,5,0,0,2,7,10,8,3,0,20915,62,0.150848673,7.2
수유동,62,18,37,98,10,13,8,0,6,25,42,101,4,25,1,127,5,92,1,0,0,0,34,92,1,97,1,0,0,0,2,0,0,0,0,145,11,2,34,13,1,17,8,27,39,38,46,45,22,0,93964,1224,0.243550722,3.773333333
숭인동,7,2,8,17,2,0,1,0,0,5,7,22,0,1,0,18,1,17,0,0,0,0,9,8,1,18,0,0,0,0,0,0,1,0,0,19,3,2,7,1,0,3,0,1,11,8,4,5,6,1,17021,73,0.182480465,5.333333333
시흥동,98,9,29,34,0,0,4,0,1,29,18,103,10,1,4,80,4,86,0,0,1,1,23,54,3,85,0,0,0,3,0,2,1,0,0,103,19,3,20,7,1,14,7,12,20,31,47,45,7,1,103069,674,0.230166199,2.605882353
신길동,65,6,37,100,5,2,8,0,2,31,35,122,6,4,3,92,3,117,0,1,0,2,27,62,3,117,0,1,1,0,2,4,2,0,0,123,13,6,22,23,0,18,7,24,38,41,39,44,19,1,88529,668,0.185362988,1.741784038
신내동,33,2,28,48,2,10,2,0,5,16,23,47,2,3,5,52,5,54,0,2,0,0,20,29,3,51,0,2,7,1,0,2,4,0,0,71,6,2,9,5,1,13,1,8,16,21,31,16,16,4,57316,343,0.215786168,4.743362832
신대방동,34,1,22,52,1,3,0,0,2,19,30,54,1,0,1,42,1,65,0,2,2,0,19,21,2,64,0,2,0,0,1,0,4,0,0,67,8,3,15,7,0,5,2,9,14,23,20,23,15,4,47336,236,0.170208721,3.072727273
신사동(은평구),8,4,8,32,3,6,1,0,0,12,5,28,0,0,3,31,0,23,1,0,0,0,7,24,0,19,1,0,2,2,1,0,0,0,0,38,3,2,7,1,1,2,3,4,10,8,13,9,8,0,45624,178,0.214075925,5.4
신수동,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,22543,176,0.157876059,92.66666667
신월동,127,6,65,83,10,5,7,0,3,34,77,147,4,10,4,114,30,144,0,3,0,1,59,52,3,171,0,3,2,0,0,3,5,0,0,199,11,1,32,6,0,34,4,34,39,46,63,74,26,5,119043,2278,0.218349672,5.436426117
신정동(양천구),127,6,36,81,8,10,6,0,3,41,48,130,8,4,8,128,21,108,0,1,2,0,47,75,6,126,0,1,1,0,0,2,3,0,0,179,15,1,25,15,0,18,4,32,47,47,53,54,18,3,172803,1697,0.174499285,1.236434109
신촌동,14,3,20,46,5,5,4,0,1,12,16,44,3,2,1,35,1,52,0,0,0,0,11,23,1,51,0,0,0,2,0,0,0,0,0,59,9,0,11,2,0,7,1,14,11,15,16,15,16,0,27079,226,0.081613058,8.011363636
쌍문동,24,6,12,23,0,2,1,0,0,9,9,34,3,7,0,38,1,26,0,0,0,1,9,28,1,26,0,0,0,0,0,0,0,0,0,32,5,3,17,5,0,3,2,9,8,12,13,11,10,0,73706,891,0.226358777,4.276923077
안암동,21,2,7,14,3,2,1,0,0,7,6,26,0,2,3,16,4,25,0,2,0,0,4,12,0,29,0,2,0,0,1,0,0,0,0,25,4,1,10,1,0,5,1,4,8,6,17,7,4,0,17147,335,0.128477285,7.829787234
암사동,19,6,21,43,3,4,1,0,0,8,16,56,4,0,3,29,5,57,0,1,2,4,10,18,1,56,0,1,0,0,0,4,4,0,0,62,3,1,2,7,0,9,1,13,9,17,18,20,9,5,65971,780,0.189856149,3.72826087
양재1동,14,0,14,16,0,0,1,0,0,7,8,25,0,1,2,16,9,19,0,0,2,1,4,12,0,21,0,0,0,4,0,0,0,0,0,33,3,0,3,3,0,2,1,0,11,9,11,7,5,0,42020,632,0.186244645,4.068181818
양재2동,21,0,20,8,0,0,0,0,0,1,11,33,1,0,3,1,11,36,0,1,0,0,0,1,0,47,0,1,0,0,0,0,1,0,0,41,4,0,0,0,1,2,1,3,10,7,14,10,3,1,21458,569,0.153882002,3.408163265
양평제1동,14,3,7,13,1,0,2,0,0,3,4,28,1,0,0,17,2,19,0,0,0,2,10,7,0,19,0,0,0,0,0,0,0,0,0,18,2,0,9,6,0,3,1,5,9,6,9,6,2,0,18465,353,0.138478202,9.684210526
양평제2동,60,2,47,77,6,3,2,0,1,10,53,114,2,2,5,38,4,150,0,0,3,7,9,28,1,142,0,0,2,0,1,2,4,0,0,116,7,1,11,28,2,20,4,23,33,36,39,37,17,3,22924,315,0.125981504,0.46875
여의동,61,11,75,107,7,2,2,0,4,30,35,172,10,2,4,106,4,150,0,1,1,8,35,66,5,143,0,1,2,0,0,0,4,0,0,178,20,3,23,20,0,13,7,28,58,49,48,49,18,4,33936,692,0.196723244,0.785440613
역삼동,253,10,123,174,18,19,16,0,5,62,71,374,11,9,11,224,60,292,0,2,0,0,94,118,12,352,0,2,0,0,10,1,11,0,0,427,21,2,68,13,0,25,2,85,153,111,91,90,35,11,71999,954,0.108182058,0.515570934
역촌동,9,5,6,33,2,4,2,0,1,7,2,32,4,0,3,35,0,20,0,0,0,0,12,22,1,20,0,0,0,0,0,0,0,0,0,36,0,2,6,6,0,5,3,8,3,12,15,9,5,0,44114,425,0.211769506,10.38181818
연남동,12,0,2,7,1,0,0,0,0,2,0,16,2,2,0,11,0,11,0,0,0,0,2,8,1,11,0,0,0,0,1,0,0,0,0,11,1,1,4,3,0,1,3,6,3,3,4,1,2,0,15132,447,0.166732752,15.72727273
연희동,27,3,18,47,0,13,1,0,1,14,14,47,3,1,1,42,1,52,0,0,2,2,6,32,4,49,0,0,0,0,0,1,1,0,0,55,10,2,15,2,0,9,0,14,19,18,19,19,5,1,37222,1261,0.173607007,0.357894737
염창동,17,2,19,21,2,0,1,0,0,9,9,39,1,0,2,15,5,41,0,0,0,3,7,8,0,43,0,0,0,0,0,0,2,0,0,33,9,1,6,4,0,6,2,4,12,9,15,17,0,2,41440,79,0.120921815,12.09836066
영등포동,66,4,33,103,6,6,5,0,1,25,42,119,6,3,5,93,5,114,0,0,0,4,29,61,3,113,0,0,2,0,0,3,3,0,0,144,8,3,22,14,0,15,2,31,34,36,48,41,18,2,31712,375,0.115287588,1.018867925
오금동,28,3,20,46,1,3,2,0,1,13,17,55,4,3,0,52,4,42,0,0,0,0,22,30,0,46,0,0,0,0,1,1,2,0,0,72,4,1,5,4,1,7,0,9,9,16,30,26,7,1,38066,1862,0.194924605,21.85714286
오류제2동,6,1,1,5,0,0,0,0,0,1,2,9,1,0,0,7,2,4,0,0,0,0,2,4,1,6,0,0,0,0,0,0,0,0,0,7,1,0,3,1,0,1,1,2,1,3,5,1,0,0,37601,84,0.211005026,4.461538462
옥수동,14,3,10,14,2,1,2,0,0,3,7,27,1,0,2,21,2,20,0,0,0,2,14,7,0,19,0,0,0,1,0,0,1,0,0,29,1,1,3,6,0,2,1,2,9,14,5,7,4,1,25631,104,0.176075846,8.372093023
왕십리도선동,15,0,7,14,3,3,3,0,1,5,4,23,0,0,0,20,0,19,0,0,0,0,7,10,3,19,0,0,0,0,1,0,1,0,0,20,2,0,6,4,0,5,2,2,5,5,9,12,3,1,26801,138,0.155180777,4.641025641
용강동,5,0,3,6,0,0,0,0,0,1,2,11,0,0,0,3,1,10,0,0,1,1,1,2,0,9,0,0,0,0,1,0,0,0,0,10,1,0,0,1,1,0,0,4,1,6,1,2,0,0,21655,310,0.146109444,27
용답동,8,0,5,8,0,3,1,0,0,1,4,11,0,1,0,8,1,12,0,0,1,1,3,5,0,11,0,0,0,0,0,1,2,0,0,9,1,0,3,2,0,3,0,3,1,4,3,6,2,2,13033,402,0.179927875,8.666666667
용문동,3,0,4,3,0,3,0,0,0,1,2,4,0,0,0,7,1,2,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,2,0,1,2,1,3,1,0,11446,29,0.199545693,156.3
용산2가동,9,1,4,3,2,0,2,0,0,1,5,10,1,0,0,3,3,13,0,0,0,0,3,0,0,14,0,0,1,1,0,0,0,0,0,15,2,0,2,0,0,0,0,3,3,1,4,7,1,0,10243,96,0.207654008,31.05263158
용신동,80,4,25,80,0,7,10,0,4,32,33,80,5,12,6,108,6,75,0,0,1,2,36,69,3,78,0,0,0,0,1,0,1,0,0,91,11,6,35,22,0,22,4,21,36,25,50,30,21,2,40283,618,0.167465184,2.46031746
우이동,3,0,2,9,2,0,0,0,1,1,1,12,0,1,0,8,2,6,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0,10,0,0,1,2,0,2,1,2,2,2,4,4,1,0,19995,287,0.260265066,2.25
원효로제1동,18,5,6,10,0,1,2,0,0,7,7,19,3,0,0,18,5,15,1,0,1,0,7,11,0,19,1,0,0,0,0,0,0,0,0,28,4,0,3,0,0,4,0,5,11,6,5,8,4,0,17682,155,0.119500057,15.33333333
원효로제2동,10,1,5,12,1,0,0,0,0,4,10,14,1,0,0,8,7,14,0,0,0,1,6,2,0,20,0,0,0,0,0,0,0,0,0,18,0,1,2,1,0,7,0,4,5,5,2,10,3,0,13724,103,0.182599825,26.44827586
월계동,49,3,37,74,1,6,4,0,1,22,40,75,8,5,3,64,18,82,0,0,2,0,22,42,0,94,0,0,3,1,1,4,5,0,0,101,7,2,16,6,1,21,1,23,20,34,37,26,18,5,75556,164,0.232463338,1.475609756
월곡제2동,2,0,7,9,2,0,0,0,0,0,4,15,0,0,1,6,2,12,0,0,2,0,3,3,0,12,0,0,0,0,0,0,0,0,0,14,0,0,1,2,0,3,1,0,2,5,6,3,3,0,19492,236,0.199825569,11.25
을지로동,14,0,7,14,0,1,2,0,0,7,10,13,1,0,1,13,3,19,0,0,0,0,8,5,0,22,0,0,0,0,0,0,0,0,0,26,2,3,2,0,0,2,0,4,6,4,7,10,4,0,3393,257,0.149130563,2.857142857
응봉동,2,0,4,11,1,0,0,0,0,2,2,12,1,1,0,7,2,9,0,0,0,1,3,4,0,10,0,0,0,0,1,0,0,0,0,7,1,0,4,5,0,0,0,3,2,2,6,4,1,0,14921,132,0.178741371,28.22222222
응암동,13,12,15,57,5,12,4,0,5,20,8,43,5,1,4,66,2,31,1,2,0,0,20,43,3,33,1,2,0,0,0,1,0,0,0,60,3,3,16,9,0,10,7,15,12,22,16,19,11,0,84266,596,0.191714333,4.18627451
이문동,31,2,10,35,0,4,0,0,2,8,17,38,3,3,3,31,2,45,0,0,0,1,9,20,2,45,0,0,0,1,0,5,0,0,0,45,1,0,9,10,0,8,4,11,13,13,10,23,4,0,41315,390,0.186106741,1.346153846
이촌동,43,3,18,24,1,0,1,0,2,4,36,45,0,0,1,13,14,59,0,3,0,10,5,8,0,63,0,3,0,0,0,0,1,0,0,64,4,0,2,12,0,6,2,7,18,18,18,17,8,1,33411,337,0.191823052,12.78651685
이태원동,41,3,14,16,5,1,7,0,0,7,14,45,4,1,0,15,13,51,0,0,0,0,7,7,1,62,0,0,2,0,0,1,0,0,0,59,2,0,12,1,0,4,2,15,21,12,11,11,6,1,18085,323,0.185899917,1.64556962
이화동,11,2,2,19,2,1,0,0,0,7,7,20,0,0,1,15,0,21,0,0,0,0,10,5,0,20,0,0,0,1,2,0,0,0,0,17,3,2,10,0,0,2,2,2,5,7,7,8,5,0,7557,105,0.183009131,69
자양동,43,7,31,64,0,4,6,0,0,13,14,92,12,4,0,46,22,77,0,0,4,14,20,25,1,81,0,0,0,0,2,1,1,0,0,93,8,10,7,16,0,7,9,19,28,26,24,25,12,2,97634,997,0.17959932,1.427586207
잠실동,132,8,77,133,8,15,7,0,6,50,56,205,5,7,7,171,25,162,0,0,0,5,67,91,13,182,0,0,0,0,5,1,8,0,0,245,20,5,25,29,0,20,11,38,74,69,69,60,29,8,106675,580,0.159043825,1.072625698
신천동,44,2,36,51,0,5,4,0,2,9,36,75,0,1,1,59,1,73,0,0,1,0,31,27,1,72,0,0,1,0,1,1,3,0,0,89,12,1,10,7,0,9,2,14,27,24,24,25,13,4,37899,115,0.169740626,6.022556391
장안동,97,3,32,107,6,8,9,0,3,39,47,121,4,10,4,120,3,122,0,0,1,1,37,80,3,122,0,0,1,0,0,3,4,0,0,161,5,4,30,14,0,24,5,32,35,53,48,52,16,4,71064,597,0.184256445,6.865306122
장위동,20,2,23,32,3,1,5,0,0,9,10,48,6,1,0,41,9,29,1,0,0,0,22,19,0,38,1,0,0,0,0,4,1,0,0,54,1,2,9,0,0,9,2,11,8,14,23,15,6,1,52447,522,0.193128301,0.8375
장충동,5,0,2,2,0,1,0,0,0,1,3,3,0,1,0,5,0,4,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,2,3,0,3,0,0,5455,69,0.166269478,40.44444444
전농동,51,2,20,41,2,6,2,0,0,10,26,57,7,5,3,60,4,52,0,0,2,0,24,33,3,54,0,0,0,0,1,1,1,0,0,68,5,3,13,11,0,13,5,13,19,18,19,27,14,1,51891,539,0.198203927,1.551724138
정릉동,55,8,31,58,4,10,3,0,1,27,29,67,10,5,4,58,18,80,0,0,9,0,21,37,0,86,0,0,1,2,0,0,1,0,0,113,9,0,16,2,0,15,6,22,19,24,33,40,11,1,41212,342,0.212850626,3.173076923
제기동,43,3,26,39,0,3,5,0,1,19,26,50,1,4,2,49,2,60,0,0,5,1,17,32,0,56,0,0,0,0,0,0,2,0,0,70,4,1,10,5,0,19,2,10,13,17,26,32,10,1,25372,761,0.227494876,2.522522523
종로1.2.3.4가동,32,7,30,83,4,9,8,0,1,23,27,83,3,0,2,69,5,81,0,1,0,0,33,35,1,79,0,1,6,1,0,0,2,0,0,112,12,4,11,7,0,8,0,17,24,21,30,38,25,1,8466,265,0.213087645,2.262820513
종로5.6가동,12,7,7,31,1,3,2,0,0,14,13,26,0,0,0,38,0,20,0,0,0,0,17,21,0,20,0,0,0,0,1,0,1,0,0,39,4,3,5,3,0,2,0,3,7,10,15,14,8,1,5807,175,0.187532289,1.534482759
종암동,20,3,22,74,0,6,3,0,0,10,36,53,2,3,6,35,7,77,0,0,0,1,16,17,2,83,0,0,0,0,1,0,1,0,0,71,8,4,13,3,0,18,1,10,19,19,27,30,12,1,39501,375,0.185615554,2.235294118
중계동,29,4,29,53,3,4,2,0,2,13,16,77,0,3,1,76,7,35,0,0,0,0,31,41,4,42,0,0,0,0,2,1,3,0,0,86,4,1,10,7,0,4,5,11,20,23,26,20,10,3,49425,196,0.112675771,4.542372881
중곡동,25,2,14,47,1,5,2,0,1,14,7,51,1,8,0,48,14,27,0,0,0,1,13,32,3,40,0,0,0,0,1,0,2,0,0,57,2,4,13,4,0,6,0,13,13,15,15,23,8,2,80269,883,0.191231982,4.247191011
중림동,6,2,2,14,1,1,1,0,0,3,8,9,3,0,0,12,1,12,0,0,0,0,5,6,1,12,0,0,1,0,0,1,0,0,0,15,2,0,4,0,0,3,0,2,6,4,6,6,1,0,12533,40,0.178648368,0.72
중화동,45,6,26,52,3,10,8,0,1,16,25,59,2,2,9,58,3,71,0,0,0,2,31,24,3,68,0,0,4,0,0,2,3,0,0,80,8,1,16,8,1,13,3,10,20,23,29,33,11,3,43041,969,0.222415836,4.643939394
증산동,5,0,7,18,2,1,5,0,0,3,1,20,1,0,1,18,2,12,0,0,0,1,9,8,1,12,0,0,1,0,0,0,0,0,0,22,2,1,3,2,0,2,1,4,2,9,7,5,4,0,18276,288,0.206226745,14.71875
진관동,27,4,11,16,2,4,0,0,0,9,3,38,3,0,3,34,6,20,0,0,0,0,8,24,2,26,0,0,0,0,0,1,2,0,0,44,4,1,3,1,0,4,0,4,5,12,10,20,7,2,54253,0,0.171437524,1.066666667
창신동,19,1,15,22,1,1,0,0,0,9,13,33,0,0,2,21,1,36,0,0,0,1,11,10,0,36,0,0,0,0,0,0,1,0,1,29,4,3,11,4,0,5,1,3,11,12,11,12,7,1,20511,250,0.221539662,2.793103448
창동,24,13,27,58,4,8,1,0,2,26,2,75,6,5,1,90,3,33,0,0,0,0,33,57,0,33,0,0,2,1,1,1,0,0,0,70,4,3,23,8,0,16,9,22,22,16,25,27,5,0,116271,706,0.207670012,0.380952381
천연동,12,1,13,24,1,6,2,0,1,4,6,28,1,1,2,17,0,34,0,0,1,0,6,10,1,33,0,0,0,0,1,0,0,0,0,28,9,1,7,0,0,5,3,5,11,10,8,10,4,0,16688,74,0.204638063,4.019607843
천호동,49,8,30,73,2,11,8,0,2,18,24,96,1,2,0,66,3,93,0,0,0,0,23,39,4,96,0,0,0,0,0,2,3,0,0,121,6,5,8,6,0,11,1,10,29,24,42,35,17,4,86154,1765,0.202439817,7.401234568
청담동,89,4,56,65,8,8,3,0,0,17,43,142,3,2,4,68,37,117,0,0,1,1,37,27,4,152,0,0,0,0,2,2,6,0,0,175,8,0,11,3,0,15,1,26,50,45,33,43,19,5,24820,751,0.159548751,0.243243243
청량리동,27,1,13,18,0,0,1,0,0,7,20,26,4,0,1,22,0,37,0,0,3,0,7,15,0,34,0,0,0,0,0,0,0,0,0,35,3,2,10,3,0,6,1,7,3,15,8,11,14,0,19315,319,0.297644318,5.050847458
청운효자동,1,0,6,6,0,1,0,0,0,2,1,9,0,0,0,5,0,8,0,0,0,0,1,4,0,7,0,0,1,0,0,0,0,0,0,9,2,0,2,0,0,0,0,1,1,2,4,2,3,0,11414,155,0.193534256,16.61538462
청파동,20,0,7,10,2,0,2,0,3,4,2,25,1,1,1,16,4,19,0,0,0,0,2,13,1,22,0,0,0,1,0,0,0,0,0,22,3,0,9,1,0,4,0,3,9,10,3,8,6,0,19500,174,0.17374359,6.435897436
충현동,13,0,9,30,1,7,2,0,0,7,14,21,0,0,2,27,0,26,0,0,0,0,6,21,0,26,0,0,0,0,1,2,0,0,0,36,4,1,5,1,1,2,1,8,4,12,10,12,6,0,20151,302,0.180338445,3.264150943
평창동,6,0,10,19,0,1,2,0,0,5,6,16,3,0,2,7,1,26,0,1,0,0,4,3,0,22,0,1,1,4,1,0,3,0,0,23,3,0,0,0,0,5,0,6,3,5,12,2,4,3,17472,224,0.211481227,54.68571429
풍납동,41,8,34,52,3,1,1,0,2,12,26,89,2,4,1,47,4,87,0,0,0,0,17,29,1,91,0,0,0,0,0,2,1,0,0,92,8,3,8,13,0,11,4,8,22,24,32,29,18,1,35928,1067,0.200205967,4.920289855
필동,11,0,2,11,0,0,1,0,0,7,6,10,0,0,0,8,4,11,1,0,0,0,3,5,0,15,1,0,0,0,0,1,0,0,0,13,1,2,5,0,0,2,1,1,3,6,6,4,3,0,5059,144,0.177505436,14.41666667
하계동,21,0,16,39,0,3,3,0,1,12,9,42,3,3,0,42,6,28,0,0,0,0,16,25,1,34,0,0,0,0,0,0,4,0,0,54,2,0,6,7,0,3,2,7,13,10,22,14,4,4,48344,108,0.178408903,6.342105263
한강로동,62,2,30,34,4,4,5,0,1,17,31,62,8,4,0,48,30,49,1,4,2,0,21,25,2,74,1,4,1,2,0,1,5,0,0,100,8,0,8,0,0,10,1,14,16,18,34,30,14,5,22620,635,0.14867374,1.265151515
한남동,73,9,20,52,5,2,4,0,1,12,55,75,9,1,0,44,28,84,1,2,3,3,20,23,1,105,1,2,0,1,1,0,1,0,0,130,10,0,8,1,0,8,2,24,30,25,31,29,18,0,18352,300,0.173169137,1.899371069
합정동,25,0,23,38,2,4,1,0,2,12,12,54,2,1,0,27,5,56,0,0,3,8,13,14,0,49,0,0,1,0,0,0,1,0,0,70,4,0,5,3,0,5,1,17,16,16,19,11,7,1,16543,352,0.163392371,1.215909091
행당동,28,0,22,28,4,7,1,0,2,14,15,43,0,0,0,40,1,41,0,0,0,0,20,18,2,41,0,0,1,0,1,1,2,0,0,55,3,0,13,4,0,3,0,13,15,15,12,16,9,2,36863,121,0.177006755,9.414634146
혜화동,10,1,4,23,1,2,1,0,0,8,12,15,1,0,0,23,2,14,0,0,0,0,2,21,0,16,0,0,0,0,0,0,0,0,0,26,3,1,4,1,0,4,0,3,9,6,9,8,4,0,19388,140,0.140602434,11.79487179
홍은동,23,4,20,53,1,6,1,0,0,12,25,54,1,0,2,37,0,64,0,0,1,2,11,26,0,61,0,0,0,0,0,2,1,0,1,67,8,0,9,2,0,11,1,18,14,15,26,19,7,1,51693,449,0.205230882,5.02970297
홍제동,22,4,30,34,3,5,2,0,1,11,20,48,4,0,2,25,1,67,0,0,4,3,4,20,1,58,0,0,0,3,0,1,1,0,0,55,8,3,13,3,0,9,1,10,14,13,22,26,6,1,55916,628,0.218273839,13.60215054
화곡동,151,6,68,139,15,17,6,0,5,34,43,244,15,13,2,177,27,173,2,0,1,0,67,107,3,195,2,0,0,4,3,2,7,0,0,228,15,13,59,22,2,28,11,74,68,56,78,63,22,7,193357,1979,0.188366597,3.707124011
화양동,23,7,15,26,0,8,1,0,0,12,7,36,6,1,0,40,12,19,0,0,0,0,19,20,1,31,0,0,0,0,7,0,1,0,0,40,4,3,7,2,0,7,2,14,14,8,18,8,6,1,27809,173,0.0876335,1.535211268
황학동,11,1,6,7,0,0,2,0,0,4,3,14,2,0,0,6,3,16,0,0,0,0,4,2,0,19,0,0,0,0,1,0,0,0,0,14,1,3,4,0,0,2,0,3,4,4,4,6,4,0,13638,13,0.160287432,38.8
회기동,14,1,2,16,1,1,1,0,1,4,4,22,1,0,0,23,3,8,0,0,0,0,7,16,0,11,0,0,0,0,1,0,0,0,0,21,1,1,10,0,0,0,0,7,6,8,4,5,4,0,13491,66,0.11511378,30.26470588
회현동,10,1,15,48,1,3,1,0,0,11,26,30,1,1,2,24,1,49,0,1,0,0,8,16,0,36,0,1,14,0,0,0,1,0,0,56,7,2,1,3,0,5,0,7,14,14,15,13,11,1,5011,141,0.275593694,6.96
효창동,8,0,1,3,0,0,0,0,0,4,4,4,0,0,0,7,2,3,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,4,3,2,2,1,0,10765,303,0.152810033,5.833333333
후암동,7,2,4,1,0,0,0,0,0,1,2,8,2,1,0,2,2,10,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,2,0,1,6,2,4,0,1,0,16386,180,0.191688026,38
휘경동,39,4,22,40,0,3,1,0,3,17,23,50,3,3,2,42,5,58,0,0,0,1,18,23,1,62,0,0,0,0,0,1,0,0,0,60,6,3,19,8,0,8,1,13,14,18,20,26,13,0,41538,205,0.15686841,4.247619048
흑석동,15,2,19,20,1,2,2,0,0,3,12,34,3,1,0,18,1,37,0,1,1,0,9,9,0,37,0,1,0,0,0,0,0,0,0,34,6,0,7,3,0,7,0,5,14,8,12,13,5,0,32259,47,0.164729223,2.122807018
성수동1가,63,9,61,73,0,10,2,0,0,33,58,98,4,1,0,72,8,124,1,1,2,23,22,46,4,107,1,1,0,0,5,1,6,0,0,145,5,6,9,7,0,22,4,39,36,38,40,36,7,6,27760,412,0.165958213,6.932038835
성수동2가,35,6,13,58,2,9,5,0,1,11,15,60,3,10,0,48,4,62,0,0,0,0,9,37,2,66,0,0,0,0,1,0,3,0,0,64,5,0,14,15,0,12,1,14,24,18,22,25,7,3,25295,1240,0.197548923,21.84210526
도림동,8,4,8,14,1,0,0,0,0,6,4,20,4,0,1,18,0,17,0,0,1,0,7,9,2,15,0,0,0,1,2,0,0,0,0,21,1,1,3,3,0,4,1,1,9,4,9,7,4,0,19468,212,0.187795356,2.628571429
항동,6,1,2,11,0,0,0,0,0,5,4,10,0,1,0,13,0,6,0,1,0,0,5,8,0,5,0,1,0,1,0,1,0,0,0,14,1,0,1,0,0,3,0,1,2,4,5,7,1,0,16417,0,0.1211549,23.4
